step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
13,TRANSFER,6188514.81,C135832352,6188514.81,0.0,C2009346140,0.0,0.0,1,0
242,CASH_OUT,3139423.35,C1627766514,3139423.35,0.0,C1840253816,2593641.94,5733065.29,1,0
607,CASH_OUT,135428.39,C872780920,135428.39,0.0,C276803409,538415.4,673843.78,1,0
316,TRANSFER,72665.95,C1614200747,72665.95,0.0,C253218862,0.0,0.0,1,0
262,CASH_OUT,2642116.95,C625254221,2642116.95,0.0,C933591789,0.0,2642116.95,1,0
103,CASH_OUT,137508.01,C631857626,137508.01,0.0,C1700121209,0.0,137508.01,1,0
562,CASH_OUT,8770.06,C1583865151,8770.06,0.0,C2053590149,0.0,8770.06,1,0
68,TRANSFER,915266.65,C1936471789,915266.65,0.0,C844650878,0.0,0.0,1,0
194,TRANSFER,1501297.88,C1043170433,1501297.88,0.0,C768896772,0.0,0.0,1,0
194,CASH_OUT,1501297.88,C1407686469,1501297.88,0.0,C1582355721,0.0,1501297.88,1,0
174,CASH_OUT,18887.22,C1144158432,18887.22,0.0,C2034180207,0.0,18887.22,1,0
658,TRANSFER,619824.64,C287805617,619824.64,0.0,C2077204488,0.0,0.0,1,0
550,TRANSFER,1613281.82,C1356014393,1613281.82,0.0,C855243703,0.0,0.0,1,0
325,TRANSFER,107834.85,C466412897,107834.85,0.0,C816944286,0.0,0.0,1,0
319,TRANSFER,92545.17,C1699397290,92545.17,0.0,C495812513,0.0,0.0,1,0
65,CASH_OUT,446032.95,C289101217,446032.95,0.0,C514505298,205977.41,652010.36,1,0
396,CASH_OUT,1547877.98,C1878609534,1547877.98,0.0,C1300753775,185725.9,1733603.89,1,0
591,CASH_OUT,906270.63,C1392276809,906270.63,0.0,C1315942882,221709.79,1127980.43,1,0
404,CASH_OUT,186375.38,C1299679751,186375.38,0.0,C936929482,427950.92,614326.3,1,0
146,TRANSFER,322329.78,C1524859544,322329.78,0.0,C1609215593,0.0,0.0,1,0
277,CASH_OUT,621387.64,C1236437797,621387.64,0.0,C1300584821,85132.75,706520.39,1,0
503,TRANSFER,251683.05,C1112029444,251683.05,0.0,C1819822165,0.0,0.0,1,0
612,TRANSFER,1023189.9,C1686587981,1023189.9,0.0,C833710849,0.0,0.0,1,0
447,CASH_OUT,155121.58,C1937221024,155121.58,0.0,C176494011,439557.76,594679.34,1,0
394,CASH_OUT,201247.25,C1380307239,201247.25,0.0,C1910018633,1296099.23,1497346.48,1,0
494,CASH_OUT,503620.99,C755656980,503620.99,0.0,C432121402,0.0,503620.99,1,0
368,TRANSFER,199414.45,C1842995301,199414.45,0.0,C1445649140,0.0,0.0,1,0
362,TRANSFER,7677120.59,C2068656014,7677120.59,0.0,C1266729216,0.0,0.0,1,0
187,CASH_OUT,2044841.02,C1943035260,2044841.02,0.0,C1552135476,397169.1,2442010.12,1,0
586,CASH_OUT,2581549.92,C648614053,2581549.92,0.0,C213455810,0.0,2581549.92,1,0
357,TRANSFER,1.0E7,C393177637,1.065315155E7,653151.55,C106531078,0.0,0.0,1,0
284,TRANSFER,160296.55,C1890719438,160296.55,0.0,C933704571,0.0,0.0,1,0
635,TRANSFER,568918.32,C1564763592,568918.32,0.0,C516990655,0.0,0.0,1,0
38,CASH_OUT,90204.54,C1295812229,90204.54,0.0,C1254182177,0.0,90204.54,1,0
664,TRANSFER,171935.25,C1235622131,171935.25,0.0,C432129572,0.0,0.0,1,0
380,TRANSFER,70125.14,C292281038,70125.14,0.0,C1409481087,0.0,0.0,1,0
551,TRANSFER,483713.23,C1111837345,483713.23,0.0,C119686502,0.0,0.0,1,0
219,TRANSFER,248242.32,C1026095459,248242.32,0.0,C1060066770,0.0,0.0,1,0
238,TRANSFER,5274773.52,C31838536,5274773.52,0.0,C36485609,0.0,0.0,1,0
142,CASH_OUT,6168077.6,C1567508562,6168077.6,0.0,C233644049,0.0,6168077.6,1,0
265,TRANSFER,5721871.91,C1616758519,5721871.91,0.0,C96929934,0.0,0.0,1,0
240,TRANSFER,103949.5,C82400750,103949.5,0.0,C1711150495,0.0,0.0,1,0
742,CASH_OUT,4009058.39,C1970706589,4009058.39,0.0,C637394241,1229761.96,5238820.34,1,0
380,TRANSFER,330218.85,C94784819,330218.85,0.0,C597468231,0.0,0.0,1,0
204,TRANSFER,2144208.23,C1923199503,2144208.23,0.0,C1004490006,0.0,0.0,1,0
400,TRANSFER,1191669.35,C2039894074,1191669.35,0.0,C2014043913,0.0,0.0,1,0
439,CASH_OUT,3947541.37,C2144474125,3947541.37,0.0,C1652358920,226201.44,4173742.81,1,0
650,TRANSFER,230652.43,C1117030253,230652.43,0.0,C1682998072,0.0,0.0,1,0
90,TRANSFER,39664.74,C1509358186,39664.74,0.0,C2068734277,0.0,0.0,1,0
425,CASH_OUT,486175.4,C1737680610,486175.4,0.0,C1596545373,0.0,486175.4,1,0
562,TRANSFER,6324299.91,C1187969526,6324299.91,0.0,C962858341,0.0,0.0,1,0
476,CASH_OUT,468599.79,C360538311,468599.79,0.0,C1834951696,37278.5,505878.3,1,0
459,TRANSFER,1153156.0,C1788207069,1153156.0,0.0,C2113625922,0.0,0.0,1,0
643,CASH_OUT,44482.33,C611589726,44482.33,0.0,C1052510610,0.0,44482.33,1,0
103,CASH_OUT,639468.22,C765437817,639468.22,0.0,C799703422,185390.74,824858.96,1,0
561,CASH_OUT,615954.92,C1033091830,615954.92,0.0,C690014487,3271323.95,3887278.88,1,0
356,TRANSFER,357226.8,C820024675,357226.8,0.0,C1707005177,0.0,0.0,1,0
99,CASH_OUT,1515291.19,C73290469,1515291.19,0.0,C1192284712,234869.29,1750160.47,1,0
150,CASH_OUT,163852.19,C1364188509,163852.19,0.0,C1652775924,548967.17,712819.36,1,0
295,TRANSFER,4531343.47,C1067203186,4531343.47,0.0,C1086076552,0.0,0.0,1,0
651,CASH_OUT,130777.09,C1641644327,130777.09,0.0,C1447531864,0.0,130777.09,1,0
637,CASH_OUT,107246.03,C172453788,107246.03,0.0,C390359674,0.0,107246.03,1,0
249,CASH_OUT,369448.2,C2020495090,369448.2,0.0,C650699445,0.0,369448.2,1,0
266,CASH_OUT,5494862.93,C1802007531,5494862.93,0.0,C1174309480,0.0,5494862.93,1,0
404,CASH_OUT,40359.75,C1580733517,40359.75,0.0,C1833873982,37684.35,78044.1,1,0
549,CASH_OUT,1057053.6,C2060205709,1057053.6,0.0,C1377648519,0.0,1057053.6,1,0
47,CASH_OUT,667043.9,C1676208609,667043.9,0.0,C1263000252,104132.27,771176.17,1,0
495,CASH_OUT,58737.53,C517543393,58737.53,0.0,C1684807831,887496.11,946233.64,1,0
144,TRANSFER,343999.8,C549010172,343999.8,0.0,C1983458809,0.0,0.0,1,0
578,CASH_OUT,6274752.67,C789526780,6274752.67,0.0,C1905238884,0.0,6274752.67,1,0
528,TRANSFER,392767.71,C612108923,392767.71,0.0,C1962731404,0.0,0.0,1,0
130,TRANSFER,21531.0,C2122951913,21531.0,0.0,C878866926,0.0,0.0,1,0
669,CASH_OUT,106290.68,C1300397389,106290.68,0.0,C775257177,0.0,106290.68,1,0
679,TRANSFER,3150438.28,C1921052827,3150438.28,0.0,C117597233,0.0,0.0,1,0
333,TRANSFER,17207.65,C1767715756,17207.65,0.0,C785026451,0.0,0.0,1,0
22,CASH_OUT,1258956.71,C673988903,1258956.71,0.0,C833477645,4736010.72,5994967.43,1,0
552,CASH_OUT,221077.97,C1895360219,221077.97,0.0,C1325018812,0.0,221077.97,1,0
342,TRANSFER,549159.68,C538261432,549159.68,0.0,C525961940,0.0,0.0,1,0
495,CASH_OUT,255286.59,C1873655308,255286.59,0.0,C445308859,0.0,255286.59,1,0
175,TRANSFER,47604.75,C1972288489,47604.75,0.0,C305797436,0.0,0.0,1,0
69,CASH_OUT,19776.71,C1994183389,19776.71,0.0,C366927459,1138941.53,1158718.24,1,0
738,CASH_OUT,114490.39,C1586103602,114490.39,0.0,C1196711051,166082.07,280572.46,1,0
219,TRANSFER,36371.77,C2064408554,36371.77,0.0,C1562975084,0.0,0.0,1,0
147,TRANSFER,489514.32,C1398711376,489514.32,0.0,C910056711,0.0,0.0,1,0
712,TRANSFER,16514.64,C1427122202,16514.64,0.0,C420183005,0.0,0.0,1,0
82,CASH_OUT,1.0E7,C1079335762,1.0E7,0.0,C615227407,373274.84,1.037327484E7,1,0
405,TRANSFER,1.0E7,C737314180,1.274087915E7,2740879.15,C790685338,0.0,0.0,1,0
181,TRANSFER,410299.86,C364474699,410299.86,0.0,C1549220926,0.0,0.0,1,0
269,TRANSFER,3042111.54,C1680736871,3042111.54,0.0,C880626783,0.0,0.0,1,0
17,CASH_OUT,42062.82,C897869440,340830.43,298767.61,C616721459,398931.35,678419.64,1,0
219,CASH_OUT,36371.77,C1856113052,36371.77,0.0,C1590703895,0.0,36371.77,1,0
515,TRANSFER,12804.74,C1711121415,12804.74,0.0,C27575040,0.0,0.0,1,0
556,TRANSFER,227231.78,C1362477685,227231.78,0.0,C396423191,0.0,0.0,1,0
218,TRANSFER,1476248.65,C1458982396,1476248.65,0.0,C534254918,0.0,0.0,1,0
420,CASH_OUT,341956.42,C865099324,341956.42,0.0,C1895897048,2191293.04,2533249.45,1,0
460,CASH_OUT,2059980.16,C617173071,2059980.16,0.0,C706638819,734579.21,2794559.36,1,0
312,CASH_OUT,117345.35,C1034868972,117345.35,0.0,C633592175,0.0,117345.35,1,0
568,TRANSFER,30790.13,C574884951,30790.13,0.0,C174185198,0.0,0.0,1,0
533,TRANSFER,400517.07,C709213920,400517.07,0.0,C565737744,0.0,0.0,1,0
387,TRANSFER,4892193.09,C908544136,4892193.09,4892193.09,C891140444,0.0,0.0,1,1
603,TRANSFER,4099382.36,C371063342,4099382.36,0.0,C1426227397,0.0,0.0,1,0
575,TRANSFER,367263.47,C695418375,367263.47,0.0,C1804523786,0.0,0.0,1,0
716,TRANSFER,6426126.34,C1681613660,6426126.34,0.0,C1588106551,0.0,0.0,1,0
78,TRANSFER,1735647.47,C32677445,1735647.47,0.0,C154560289,0.0,0.0,1,0
636,TRANSFER,729078.34,C1326188637,729078.34,0.0,C1097922403,0.0,0.0,1,0
577,CASH_OUT,727792.98,C786298819,727792.98,0.0,C1428966428,456471.74,1184264.72,1,0
178,TRANSFER,85017.99,C1028321067,85017.99,0.0,C1506966861,0.0,0.0,1,0
622,TRANSFER,668273.94,C1893589234,668273.94,0.0,C907656239,0.0,0.0,1,0
559,CASH_OUT,127564.33,C471097879,127564.33,0.0,C312345,272123.54,399687.88,1,0
251,CASH_OUT,8276235.5,C1880773458,8276235.5,0.0,C2102473649,190006.69,8466242.19,1,0
677,TRANSFER,9295454.24,C1216463302,9295454.24,0.0,C1920599052,0.0,0.0,1,0
394,TRANSFER,147957.23,C1762704986,147957.23,0.0,C1857166842,0.0,0.0,1,0
236,TRANSFER,67050.5,C1650479654,67050.5,0.0,C625044678,0.0,0.0,1,0
506,CASH_OUT,7041719.54,C321971640,7041719.54,0.0,C2084611108,0.0,7041719.54,1,0
640,CASH_OUT,46973.96,C1388934597,46973.96,0.0,C1218759117,0.0,46973.96,1,0
667,CASH_OUT,161536.55,C1916979174,161536.55,0.0,C857162108,5580.01,167116.56,1,0
669,CASH_OUT,111033.79,C628538240,111033.79,0.0,C1203444656,470258.81,581292.59,1,0
634,TRANSFER,9168747.51,C183711980,9168747.51,0.0,C987041812,0.0,0.0,1,0
666,CASH_OUT,504362.34,C1885602462,504362.34,0.0,C1876362324,0.0,504362.34,1,0
640,TRANSFER,49871.73,C1236485428,49871.73,0.0,C1412551637,0.0,0.0,1,0
384,TRANSFER,56517.37,C52614586,56517.37,0.0,C1469827455,0.0,0.0,1,0
668,TRANSFER,7539165.76,C64015154,7539165.76,0.0,C1744865437,0.0,0.0,1,0
452,CASH_OUT,227349.18,C1852618568,227349.18,0.0,C1829345728,111961.16,339310.34,1,0
185,TRANSFER,476890.47,C1700987687,476890.47,0.0,C463702368,0.0,0.0,1,0
640,CASH_OUT,87698.36,C1218269262,87698.36,0.0,C559467589,237454.49,325152.85,1,0
28,TRANSFER,491517.77,C1029198062,491517.77,0.0,C1534111155,0.0,0.0,1,0
475,CASH_OUT,876753.11,C1127304441,876753.11,0.0,C1403814902,0.0,876753.11,1,0
570,TRANSFER,2925859.58,C382312588,2925859.58,0.0,C114627668,0.0,0.0,1,0
486,CASH_OUT,4505012.56,C1075946907,4505012.56,0.0,C1978376659,0.0,4505012.56,1,0
98,CASH_OUT,1273674.05,C1758225011,1273674.05,0.0,C59790487,0.0,1273674.05,1,0
644,CASH_OUT,70669.49,C889625469,70669.49,0.0,C778459251,1610179.68,1680849.17,1,0
25,TRANSFER,296333.54,C1473328942,296333.54,0.0,C1650053869,0.0,0.0,1,0
485,CASH_OUT,1425802.24,C1247391276,1425802.24,0.0,C2010547624,3978784.16,5404586.4,1,0
521,CASH_OUT,525155.79,C843090294,525155.79,0.0,C1217435263,2665961.11,3191116.89,1,0
503,CASH_OUT,861189.54,C1637109620,861189.54,0.0,C1172208987,0.0,861189.54,1,0
104,TRANSFER,655294.3,C935429105,655294.3,0.0,C1630335689,0.0,0.0,1,0
227,TRANSFER,4075956.58,C799393307,4075956.58,0.0,C251525429,0.0,0.0,1,0
230,TRANSFER,1112204.51,C444571961,1112204.51,0.0,C1409527805,0.0,0.0,1,0
720,CASH_OUT,561027.94,C1977012169,561027.94,0.0,C2046543402,0.0,561027.94,1,0
596,CASH_OUT,434401.5,C502036352,434401.5,0.0,C1774504207,542289.09,976690.59,1,0
497,CASH_OUT,2123610.45,C1062431728,2123610.45,0.0,C1354064635,1234419.45,3358029.9,1,0
56,TRANSFER,2776135.33,C432219684,2776135.33,0.0,C926776113,0.0,0.0,1,0
66,CASH_OUT,813133.35,C952177952,813133.35,0.0,C884699340,0.0,813133.35,1,0
714,TRANSFER,1.0E7,C131412689,1.039076324E7,390763.24,C1846567377,0.0,0.0,1,0
9,TRANSFER,350705.74,C1452168793,350705.74,0.0,C399194578,0.0,1184633.07,1,0
297,CASH_OUT,5591647.96,C1455120619,5591647.96,0.0,C2080178799,952338.2,6543986.15,1,0
556,CASH_OUT,227231.78,C1458716480,227231.78,0.0,C1926682191,1606681.0,1833912.79,1,0
692,TRANSFER,46072.33,C1599191169,46072.33,0.0,C1035155877,0.0,0.0,1,0
557,CASH_OUT,74709.4,C467552015,74709.4,0.0,C2104621109,233625.43,308334.83,1,0
212,TRANSFER,704328.29,C1183135461,704328.29,0.0,C1446253105,0.0,0.0,1,0
501,CASH_OUT,772379.36,C533533320,772379.36,0.0,C1635587214,501817.89,1274197.25,1,0
279,TRANSFER,1.0E7,C898870268,1.053662441E7,536624.41,C1236804041,0.0,0.0,1,0
425,CASH_OUT,287720.41,C1152041857,287720.41,0.0,C1551847216,174700.67,462421.08,1,0
359,CASH_OUT,105733.45,C1248586428,105733.45,0.0,C1550187391,934471.58,1040205.03,1,0
127,TRANSFER,6910926.92,C119613068,6910926.92,0.0,C947645496,0.0,0.0,1,0
613,TRANSFER,393699.17,C1660576685,393699.17,0.0,C521066417,0.0,0.0,1,0
494,TRANSFER,103909.1,C1648943042,103909.1,0.0,C1134805695,0.0,0.0,1,0
15,TRANSFER,747282.4,C1695793096,747282.4,0.0,C849010584,0.0,0.0,1,0
215,TRANSFER,1586479.66,C109700228,1586479.66,0.0,C546843305,0.0,0.0,1,0
664,CASH_OUT,4651.43,C59743655,4651.43,0.0,C1943832045,4812422.91,4817074.35,1,0
742,TRANSFER,258355.42,C1226129332,258355.42,0.0,C1744173808,0.0,0.0,1,0
354,TRANSFER,9299230.13,C350993487,9299230.13,0.0,C1614280501,0.0,0.0,1,0
692,TRANSFER,6856104.02,C528343888,6856104.02,0.0,C737162592,0.0,0.0,1,0
442,TRANSFER,1487505.07,C277096632,1487505.07,0.0,C344711118,0.0,0.0,1,0
199,TRANSFER,3644234.06,C1362743884,3644234.06,0.0,C1885652629,0.0,0.0,1,0
467,TRANSFER,144283.42,C1294019179,144283.42,0.0,C63457750,0.0,0.0,1,0
240,TRANSFER,74076.48,C1589254614,74076.48,0.0,C1147163702,0.0,0.0,1,0
322,TRANSFER,108213.6,C586432166,108213.6,0.0,C810627720,0.0,0.0,1,0
268,CASH_OUT,1070857.97,C1513064965,1070857.97,0.0,C1686203571,0.0,1070857.97,1,0
149,TRANSFER,7188425.25,C1962597060,7188425.25,0.0,C103010660,0.0,0.0,1,0
452,CASH_OUT,63262.94,C1693403052,63262.94,0.0,C1457990651,6388249.11,6451512.05,1,0
637,CASH_OUT,48605.54,C1975630397,48605.54,0.0,C1563301759,1263443.51,1312049.05,1,0
140,CASH_OUT,53782.87,C1507289159,53782.87,0.0,C431035662,0.0,53782.87,1,0
292,CASH_OUT,362335.05,C48088685,362335.05,0.0,C1562137576,509388.64,871723.69,1,0
460,TRANSFER,1424002.7,C777622163,1424002.7,0.0,C413417554,0.0,0.0,1,0
200,CASH_OUT,7482670.24,C782470219,7482670.24,0.0,C13429851,2097169.4,9579839.64,1,0
97,TRANSFER,4454632.3,C310812803,4454632.3,0.0,C1185406486,0.0,0.0,1,0
3,CASH_OUT,10539.37,C1984954272,10539.37,0.0,C124540047,0.0,10539.37,1,0
133,CASH_OUT,1159010.44,C1724151856,1159010.44,0.0,C1229046559,175085.52,1334095.97,1,0
81,CASH_OUT,221936.6,C1587954748,221936.6,0.0,C1439182488,1811.03,223747.62,1,0
173,TRANSFER,2177218.43,C1302526975,2177218.43,0.0,C595351088,0.0,0.0,1,0
269,TRANSFER,676882.33,C1627918307,676882.33,0.0,C1636966593,0.0,0.0,1,0
482,CASH_OUT,24382.08,C805912404,24382.08,0.0,C2095346026,6866.91,31248.99,1,0
131,CASH_OUT,2248584.96,C1701978189,2248584.96,0.0,C1864787656,44660.15,2293245.11,1,0
528,TRANSFER,311234.46,C1635920550,311234.46,0.0,C942070496,0.0,0.0,1,0
249,TRANSFER,3138.25,C1027828118,3138.25,0.0,C506519759,0.0,0.0,1,0
171,TRANSFER,1437291.89,C533125295,1437291.89,0.0,C1217960953,0.0,0.0,1,0
79,CASH_OUT,353045.35,C1947418069,353045.35,0.0,C615914680,981978.74,1335024.09,1,0
692,CASH_OUT,163490.28,C630486346,163490.28,0.0,C21818636,0.0,163490.28,1,0
521,TRANSFER,48734.24,C1051865605,48734.24,0.0,C2005579238,0.0,0.0,1,0
258,CASH_OUT,248043.99,C1328801948,248043.99,0.0,C1815131206,0.0,248043.99,1,0
582,CASH_OUT,1270565.77,C1599110470,1270565.77,0.0,C1024005530,216005.04,1486570.81,1,0
503,TRANSFER,993088.06,C1645429111,993088.06,0.0,C1386808946,0.0,0.0,1,0
41,TRANSFER,1270564.34,C1268743025,1270564.34,0.0,C802302527,0.0,0.0,1,0
213,CASH_OUT,188658.45,C1344277836,188658.45,0.0,C78389368,0.0,188658.45,1,0
46,CASH_OUT,35016.23,C1267520613,35016.23,0.0,C801157832,65435.34,100451.57,1,0
169,TRANSFER,19244.9,C1225444134,19244.9,0.0,C999409522,0.0,0.0,1,0
156,TRANSFER,254167.15,C514076656,254167.15,0.0,C1340029873,0.0,0.0,1,0
487,CASH_OUT,1035401.2,C1689112462,1035401.2,0.0,C353554883,4906677.4,5942078.6,1,0
52,CASH_OUT,1093155.19,C395947070,1093155.19,0.0,C1747066716,1966451.64,3059606.83,1,0
577,CASH_OUT,681525.62,C343064779,681525.62,0.0,C851594091,2250319.57,2931845.19,1,0
212,CASH_OUT,5131896.17,C2124387698,5131896.17,0.0,C1009747499,302942.16,5434838.33,1,0
723,CASH_OUT,2232257.71,C684925403,2232257.71,0.0,C855824878,819923.42,3052181.14,1,0
322,CASH_OUT,108213.6,C1360735702,108213.6,0.0,C831415203,3191417.38,3299630.98,1,0
18,TRANSFER,1974352.3,C745648946,1974352.3,0.0,C1091334879,0.0,0.0,1,0
647,CASH_OUT,61846.05,C1010063091,61846.05,0.0,C2139077916,2094201.81,2156047.86,1,0
394,CASH_OUT,49950.63,C1528504862,49950.63,0.0,C1778014932,460576.82,510527.45,1,0
582,CASH_OUT,47662.13,C1447139298,47662.13,0.0,C1487365268,147954.8,195616.93,1,0
314,TRANSFER,59893.41,C1284144520,59893.41,0.0,C1435949580,0.0,0.0,1,0
379,TRANSFER,17216.14,C1500954135,17216.14,0.0,C1753438531,0.0,0.0,1,0
486,CASH_OUT,1290619.25,C790188952,1290619.25,0.0,C472356199,0.0,1290619.25,1,0
644,TRANSFER,228751.77,C1886391505,228751.77,0.0,C137422698,0.0,0.0,1,0
173,CASH_OUT,176273.29,C14325153,176273.29,0.0,C856044772,0.0,176273.29,1,0
262,TRANSFER,218074.57,C1211163896,218074.57,0.0,C1493086567,0.0,0.0,1,0
19,CASH_OUT,3477438.49,C841995363,3477438.49,0.0,C1314676285,0.0,3477438.49,1,0
707,TRANSFER,15371.72,C589262212,15371.72,0.0,C1774278732,0.0,0.0,1,0
3,TRANSFER,10539.37,C1134864869,10539.37,0.0,C118648358,0.0,0.0,1,0
387,TRANSFER,1.0E7,C1421664654,3.489219309E7,2.489219309E7,C1036214683,0.0,0.0,1,0
277,TRANSFER,342988.79,C1522760202,342988.79,0.0,C509783164,0.0,0.0,1,0
470,TRANSFER,2198220.97,C1393439924,2198220.97,0.0,C851338379,0.0,0.0,1,0
742,TRANSFER,63416.99,C778071008,63416.99,0.0,C1812552860,0.0,0.0,1,0
211,CASH_OUT,73599.57,C1559180710,73599.57,0.0,C1604656634,0.0,73599.57,1,0
157,CASH_OUT,939518.05,C2110710924,939518.05,0.0,C325441489,0.0,939518.05,1,0
572,CASH_OUT,151715.39,C80837759,151715.39,0.0,C1302224324,1091370.69,1243086.09,1,0
404,TRANSFER,40359.75,C364009492,40359.75,0.0,C718391314,0.0,0.0,1,0
547,CASH_OUT,594471.04,C1345990968,594471.04,0.0,C623395017,1788456.17,2382927.21,1,0
473,CASH_OUT,70239.81,C867506541,70239.81,0.0,C1424690592,255444.42,325684.23,1,0
642,TRANSFER,330665.02,C858235429,330665.02,0.0,C1542396636,0.0,0.0,1,0
351,CASH_OUT,6417789.09,C14516308,6417789.09,0.0,C1104416444,2280633.24,8698422.34,1,0
255,TRANSFER,38223.11,C519675576,38223.11,0.0,C1580883487,0.0,0.0,1,0
238,TRANSFER,1530.84,C1164568984,1530.84,0.0,C940250916,0.0,0.0,1,0
578,CASH_OUT,4961014.03,C1742941865,4961014.03,0.0,C1310890311,21847.95,4982861.98,1,0
674,CASH_OUT,6250438.78,C951549308,6250438.78,0.0,C1717545219,0.0,6250438.78,1,0
534,CASH_OUT,1390332.39,C1515790640,1390332.39,0.0,C1288810506,0.0,1390332.39,1,0
596,CASH_OUT,204721.27,C357911107,204721.27,0.0,C1450973124,0.0,204721.27,1,0
101,TRANSFER,146681.74,C1791664104,146681.74,0.0,C84868382,0.0,0.0,1,0
542,CASH_OUT,1068398.61,C755809826,1068398.61,0.0,C411670460,0.0,1068398.61,1,0
379,CASH_OUT,284000.25,C1668487774,284000.25,0.0,C1354269038,0.0,284000.25,1,0
516,TRANSFER,848134.57,C387226180,848134.57,0.0,C1242120613,0.0,0.0,1,0
732,TRANSFER,249365.63,C372564056,249365.63,0.0,C977922578,0.0,0.0,1,0
735,TRANSFER,92735.71,C1351323617,92735.71,0.0,C413722554,0.0,0.0,1,0
